courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
0,ALSU,1101U,Foundations for Academic Learning and Success,Academic Learning and Success,"The purpose of this course is to help students develop learning strategies that build the foundations for academic success. This course is highly participatory, requires self-reflection, and encourages the development of critical thinking, goal setting and self-management skills. Topics include learning styles and methods; goal setting; engaging with faculty and campus resources; communication and cooperative learning; time management, academic reading and note taking; test taking, memory and concentration; and creative problem solving. This course will give students the academic foundations needed to succeed in a university environment.",3,3,1.5,Not for credit in a Commerce or IT program.,,,,,,,,,,
1,AUTE,3010U,Fundamentals of Automotive Engineering,Automotive Engineering,"This course is designed to introduce students to the five essential themes in automotive engineering including control, design, materials and manufacturing, powertrains and emissions, and structure chassis and body. The fundamental functionality and typical configurations of automotive vehicles and their subsystems, including powertrain, steering systems, braking systems, suspensions, vehicle body structures, vehicle interior, tires and electrical components will be briefly reviewed. The different configuration features of engine location, traction wheels lay-out, on-road and off-road vehicles, special purpose vehicles, passenger cars, buses and articulated vehicles will be discussed. This course provides the background needed for subsequent automotive engineering courses.Formerly: Introduction to Automotive Engineering",3,3,1,,ENGR 4260U,MECE 2230U,,,,,,,,
2,AUTE,3290U,Powertrain Design,Automotive Engineering,"This course introduces the fundamental design principles, general design procedures, typical constructional arrangements, and basic parameter selection of essential components and subsystems of automotive powertrains. Topics covered include evaluation of various power plant and driveline characteristics on vehicle acceleration performance and fuel economy, manual transmission design, automatic transmission design. The principles of electrical and hybrid electrical vehicle propulsion systems will also be introduced. Students will develop the ability to design typical automotive powertrain components and subsystems through selecting appropriate constructions and determining basic design variables based on design principles, physical laws, legislations, criteria and constraints. Some design experience will be gained by completing required laboratory reports and design projects.",3,3,1,,,AUTE 3010U and MECE 3270U,2 (biweekly),,,,,,,
3,AUTE,3450U,Combustion and Engines,Automotive Engineering,"Combustion fundamentals including flame stoichiometry, chemical kinetics, flame temperature, pre-mixed and diffusion flames. Applications to engineered combustion systems such as furnaces and fossil fuelled engines. Continuous and unsteady combustion systems. Internal combustion engines including cycles, fuels and lubricants, supercharging, carburetion, valving, manifolding, combustion chamber ignition and fuel injection; engine performance and testing. Design of combustors and engines. Methods for increasing combustion efficiency and reducing pollutant formation. Pollution reduction techniques. Safety issues.",3,3,1,,,CHEM 1800U and (MECE 2320U or MECE 2640U ),2 (biweekly),,,,,,,
4,AUTE,3500U,Automotive Instrumentation and Controls,Automotive Engineering,"This course covers the major instrumentation and control systems found in vehicles. Topics include: sensors and actuators in modern vehicles; microcontroller fundamentals and control software development; and vehicle communications and protocols. This course introduces sensor and control systems for engine control, emission systems, transmission control, electric motor control, battery management systems, anti-lock braking systems, electronic braking systems, active suspension systems, power steering, active steering, electronic stability control, cruise control, airbag safety, blind-spot detection, lane departure monitoring, automotive instrumentation, vehicle fault detection and diagnostics, as well as signal estimation and filtering techniques. Sensors used for autonomous navigation and control will also be discussed.",3,3,1,,,AUTE 3010U and MECE 3350U,2 (biweekly),,,,,,,
5,AUTE,4000U,Special Topics in Automotive Engineering,Automotive Engineering,Contemporary topics at the advanced undergraduate level. Faculty presents advanced elective topics not included in the established curriculum.,3,3,,,,Permission of the instructor,,,,,,,,
6,AUTE,4010U,Vehicle Dynamics and Control,Automotive Engineering,"Total vehicle dynamics; dynamical properties of vehicle parts; the longitudinal, lateral and vertical dynamics; mathematical models of vehicles to predict their road performance; selection of important powertrain parameters (e.g. transmission characteristics) to coordinate the requirements of tractive performance and fuel economy; suppression of forces, moments, and movements under external road disturbances; steady-state handling and vehicle directional behaviour; transient response and stability in small disturbance maneuvers; nonlinear effects in tire modelling, classification and analysis of suspension systems; ride quality; driving stability; important vehicle standards and safety regulations and standards examined from vehicle dynamic point of view; vehicle control factors such as driver modelling, occupant comfort and driver interfaces; introduction to active suspension systems, traction control, and yawmoment control; introduction to advanced vehicle control systems for intelligent vehicle-highway systems.",3,3,1,,,MECE 3210U and AUTE 3010U,,,,,,,,
7,AUTE,4060U,Automotive Structural Design,Automotive Engineering,"This course focuses on design, analysis and manufacture of vehicle structure. Students will learn about the fundamental design aspect in different categories of vehicles and practice design procedures useful for different vehicle structures. The various manufacturing and assembly techniques used in production of the vehicle structure will be introduced. The course contents include a review of fundamental vehicle loads and their estimation, terminology and overview of vehicle structure types including Body-On-Chassis, Ladder Frame, Grillage Frame, Backbone, Monocoque, Space frame, unitary body structures, torsion and bending stiffness, Stiffness optimization, fatigue analysis, Design and analysis of body subassemblies and model variants, sizing of sections and joints, Engineering Materials and their incorporation into vehicle design, Material property charts, Material selection, Auto body design, Crashworthiness and its influence on vehicle design.",3,3,2,,,AUTE 3010U and MECE 3220U,,,,,,,,
8,AUTE,4070U,Chassis Systems Design,Automotive Engineering,"This course is designed to introduce the students to fundamentals of typical design methods and procedures of automotive vehicle chassis including sub-systems of steering mechanisms, suspensions and brakes. The student will develop the ability to design typical chassis constructional arrangements and the sub-systems through selecting appropriate constructions and determining basic parameters based on design principles, physical laws, standards, design criteria and constraints. The students will learn basic approaches for evaluating vehicle chassis and corresponding sub-systems based on constructional and functional design analysis. Some design experience will be gained by completing required design projects.",3,3,1,,,AUTE 3010U and MECE 3270U,2 (biweekly),,,,,,,
9,AUTE,4080U,Electric and Hybrid Vehicles,Automotive Engineering,"The concepts, principles, analysis and design procedures for electric and hybrid vehicles are covered. Power plant type, electric drive train configurations, power flow, torque and speed coupling options being employed are discussed and analyzed. Energy storage systems are examined for their performance aspects in terms of specific energy and power capability, operating cycles, cost and thermal management requirements. The resulting impact of electrification on vehicle fuel economy, net emissions, life-cycle and infrastructure implication for society are also detailed. Techniques are learned and employed regarding the powertrain sizing problem, including battery pack configuration and its scaling for energy and power needs, selection of driveline components to meet regenerative braking and acceleration performance.",3,3,1,,,MECE 3390U or AUTE 3500U,2 (biweekly),,,,,,,
